|  SP | White    | Black    | Chess960FEN                                                   |
| 857 | RKNBBRNQ | rknbbrnq | [FEN "rknbbrnq/pppppppp/8/8/8/8/PPPPPPPP/RKNBBRNQ w FAfa - 0 1"] |
| 858 | RKNRBBNQ | rknrbbnq | [FEN "rknrbbnq/pppppppp/8/8/8/8/PPPPPPPP/RKNRBBNQ w DAda - 0 1"] |
| 859 | RKNRBNQB | rknrbnqb | [FEN "rknrbnqb/pppppppp/8/8/8/8/PPPPPPPP/RKNRBNQB w DAda - 0 1"] |
| 860 | RBKNRNBQ | rbknrnbq | [FEN "rbknrnbq/pppppppp/8/8/8/8/PPPPPPPP/RBKNRNBQ w EAea - 0 1"] |
| 861 | RKNBRNBQ | rknbrnbq | [FEN "rknbrnbq/pppppppp/8/8/8/8/PPPPPPPP/RKNBRNBQ w EAea - 0 1"] |
| 862 | RKNRNBBQ | rknrnbbq | [FEN "rknrnbbq/pppppppp/8/8/8/8/PPPPPPPP/RKNRNBBQ w DAda - 0 1"] |
| 863 | RKNRNQBB | rknrnqbb | [FEN "rknrnqbb/pppppppp/8/8/8/8/PPPPPPPP/RKNRNQBB w DAda - 0 1"] |
| 864 | BBQRKRNN | bbqrkrnn | [FEN "bbqrkrnn/pppppppp/8/8/8/8/PPPPPPPP/BBQRKRNN w FDfd - 0 1"] |
| 865 | BQRBKRNN | bqrbkrnn | [FEN "bqrbkrnn/pppppppp/8/8/8/8/PPPPPPPP/BQRBKRNN w FCfc - 0 1"] |
| 866 | BQRKRBNN | bqrkrbnn | [FEN "bqrkrbnn/pppppppp/8/8/8/8/PPPPPPPP/BQRKRBNN w ECec - 0 1"] |
| 867 | BQRKRNNB | bqrkrnnb | [FEN "bqrkrnnb/pppppppp/8/8/8/8/PPPPPPPP/BQRKRNNB w ECec - 0 1"] |
| 868 | QBBRKRNN | qbbrkrnn | [FEN "qbbrkrnn/pppppppp/8/8/8/8/PPPPPPPP/QBBRKRNN w FDfd - 0 1"] |
| 869 | QRBBKRNN | qrbbkrnn | [FEN "qrbbkrnn/pppppppp/8/8/8/8/PPPPPPPP/QRBBKRNN w FBfb - 0 1"] |
| 870 | QRBKRBNN | qrbkrbnn | [FEN "qrbkrbnn/pppppppp/8/8/8/8/PPPPPPPP/QRBKRBNN w EBeb - 0 1"] |
| 871 | QRBKRNNB | qrbkrnnb | [FEN "qrbkrnnb/pppppppp/8/8/8/8/PPPPPPPP/QRBKRNNB w EBeb - 0 1"] |
| 872 | QBRKBRNN | qbrkbrnn | [FEN "qbrkbrnn/pppppppp/8/8/8/8/PPPPPPPP/QBRKBRNN w FCfc - 0 1"] |
| 873 | QRKBBRNN | qrkbbrnn | [FEN "qrkbbrnn/pppppppp/8/8/8/8/PPPPPPPP/QRKBBRNN w FBfb - 0 1"] |
| 874 | QRKRBBNN | qrkrbbnn | [FEN "qrkrbbnn/pppppppp/8/8/8/8/PPPPPPPP/QRKRBBNN w DBdb - 0 1"] |
| 875 | QRKRBNNB | qrkrbnnb | [FEN "qrkrbnnb/pppppppp/8/8/8/8/PPPPPPPP/QRKRBNNB w DBdb - 0 1"] |
| 876 | QBRKRNBN | qbrkrnbn | [FEN "qbrkrnbn/pppppppp/8/8/8/8/PPPPPPPP/QBRKRNBN w ECec - 0 1"] |
| 877 | QRKBRNBN | qrkbrnbn | [FEN "qrkbrnbn/pppppppp/8/8/8/8/PPPPPPPP/QRKBRNBN w EBeb - 0 1"] |
| 878 | QRKRNBBN | qrkrnbbn | [FEN "qrkrnbbn/pppppppp/8/8/8/8/PPPPPPPP/QRKRNBBN w DBdb - 0 1"] |
| 879 | QRKRNNBB | qrkrnnbb | [FEN "qrkrnnbb/pppppppp/8/8/8/8/PPPPPPPP/QRKRNNBB w DBdb - 0 1"] |
| 880 | BBRQKRNN | bbrqkrnn | [FEN "bbrqkrnn/pppppppp/8/8/8/8/PPPPPPPP/BBRQKRNN w FCfc - 0 1"] |
| 881 | BRQBKRNN | brqbkrnn | [FEN "brqbkrnn/pppppppp/8/8/8/8/PPPPPPPP/BRQBKRNN w FBfb - 0 1"] |
| 882 | BRQKRBNN | brqkrbnn | [FEN "brqkrbnn/pppppppp/8/8/8/8/PPPPPPPP/BRQKRBNN w EBeb - 0 1"] |
| 883 | BRQKRNNB | brqkrnnb | [FEN "brqkrnnb/pppppppp/8/8/8/8/PPPPPPPP/BRQKRNNB w EBeb - 0 1"] |
| 884 | RBBQKRNN | rbbqkrnn | [FEN "rbbqkrnn/pppppppp/8/8/8/8/PPPPPPPP/RBBQKRNN w FAfa - 0 1"] |
| 885 | RQBBKRNN | rqbbkrnn | [FEN "rqbbkrnn/pppppppp/8/8/8/8/PPPPPPPP/RQBBKRNN w FAfa - 0 1"] |
| 886 | RQBKRBNN | rqbkrbnn | [FEN "rqbkrbnn/pppppppp/8/8/8/8/PPPPPPPP/RQBKRBNN w EAea - 0 1"] |
| 887 | RQBKRNNB | rqbkrnnb | [FEN "rqbkrnnb/pppppppp/8/8/8/8/PPPPPPPP/RQBKRNNB w EAea - 0 1"] |
| 888 | RBQKBRNN | rbqkbrnn | [FEN "rbqkbrnn/pppppppp/8/8/8/8/PPPPPPPP/RBQKBRNN w FAfa - 0 1"] |
| 889 | RQKBBRNN | rqkbbrnn | [FEN "rqkbbrnn/pppppppp/8/8/8/8/PPPPPPPP/RQKBBRNN w FAfa - 0 1"] |
| 890 | RQKRBBNN | rqkrbbnn | [FEN "rqkrbbnn/pppppppp/8/8/8/8/PPPPPPPP/RQKRBBNN w DAda - 0 1"] |
| 891 | RQKRBNNB | rqkrbnnb | [FEN "rqkrbnnb/pppppppp/8/8/8/8/PPPPPPPP/RQKRBNNB w DAda - 0 1"] |
| 892 | RBQKRNBN | rbqkrnbn | [FEN "rbqkrnbn/pppppppp/8/8/8/8/PPPPPPPP/RBQKRNBN w EAea - 0 1"] |
| 893 | RQKBRNBN | rqkbrnbn | [FEN "rqkbrnbn/pppppppp/8/8/8/8/PPPPPPPP/RQKBRNBN w EAea - 0 1"] |
| 894 | RQKRNBBN | rqkrnbbn | [FEN "rqkrnbbn/pppppppp/8/8/8/8/PPPPPPPP/RQKRNBBN w DAda - 0 1"] |
| 895 | RQKRNNBB | rqkrnnbb | [FEN "rqkrnnbb/pppppppp/8/8/8/8/PPPPPPPP/RQKRNNBB w DAda - 0 1"] |
| 896 | BBRKQRNN | bbrkqrnn | [FEN "bbrkqrnn/pppppppp/8/8/8/8/PPPPPPPP/BBRKQRNN w FCfc - 0 1"] |
| 897 | BRKBQRNN | brkbqrnn | [FEN "brkbqrnn/pppppppp/8/8/8/8/PPPPPPPP/BRKBQRNN w FBfb - 0 1"] |
| 898 | BRKQRBNN | brkqrbnn | [FEN "brkqrbnn/pppppppp/8/8/8/8/PPPPPPPP/BRKQRBNN w EBeb - 0 1"] |
| 899 | BRKQRNNB | brkqrnnb | [FEN "brkqrnnb/pppppppp/8/8/8/8/PPPPPPPP/BRKQRNNB w EBeb - 0 1"] |
| 900 | RBBKQRNN | rbbkqrnn | [FEN "rbbkqrnn/pppppppp/8/8/8/8/PPPPPPPP/RBBKQRNN w FAfa - 0 1"] |
| 901 | RKBBQRNN | rkbbqrnn | [FEN "rkbbqrnn/pppppppp/8/8/8/8/PPPPPPPP/RKBBQRNN w FAfa - 0 1"] |
| 902 | RKBQRBNN | rkbqrbnn | [FEN "rkbqrbnn/pppppppp/8/8/8/8/PPPPPPPP/RKBQRBNN w EAea - 0 1"] |
| 903 | RKBQRNNB | rkbqrnnb | [FEN "rkbqrnnb/pppppppp/8/8/8/8/PPPPPPPP/RKBQRNNB w EAea - 0 1"] |
| 904 | RBKQBRNN | rbkqbrnn | [FEN "rbkqbrnn/pppppppp/8/8/8/8/PPPPPPPP/RBKQBRNN w FAfa - 0 1"] |
| 905 | RKQBBRNN | rkqbbrnn | [FEN "rkqbbrnn/pppppppp/8/8/8/8/PPPPPPPP/RKQBBRNN w FAfa - 0 1"] |
| 906 | RKQRBBNN | rkqrbbnn | [FEN "rkqrbbnn/pppppppp/8/8/8/8/PPPPPPPP/RKQRBBNN w DAda - 0 1"] |
| 907 | RKQRBNNB | rkqrbnnb | [FEN "rkqrbnnb/pppppppp/8/8/8/8/PPPPPPPP/RKQRBNNB w DAda - 0 1"] |
| 908 | RBKQRNBN | rbkqrnbn | [FEN "rbkqrnbn/pppppppp/8/8/8/8/PPPPPPPP/RBKQRNBN w EAea - 0 1"] |
| 909 | RKQBRNBN | rkqbrnbn | [FEN "rkqbrnbn/pppppppp/8/8/8/8/PPPPPPPP/RKQBRNBN w EAea - 0 1"] |
| 910 | RKQRNBBN | rkqrnbbn | [FEN "rkqrnbbn/pppppppp/8/8/8/8/PPPPPPPP/RKQRNBBN w DAda - 0 1"] |
| 911 | RKQRNNBB | rkqrnnbb | [FEN "rkqrnnbb/pppppppp/8/8/8/8/PPPPPPPP/RKQRNNBB w DAda - 0 1"] |
| 912 | BBRKRQNN | bbrkrqnn | [FEN "bbrkrqnn/pppppppp/8/8/8/8/PPPPPPPP/BBRKRQNN w ECec - 0 1"] |
| 913 | BRKBRQNN | brkbrqnn | [FEN "brkbrqnn/pppppppp/8/8/8/8/PPPPPPPP/BRKBRQNN w EBeb - 0 1"] |
| 914 | BRKRQBNN | brkrqbnn | [FEN "brkrqbnn/pppppppp/8/8/8/8/PPPPPPPP/BRKRQBNN w DBdb - 0 1"] |
| 915 | BRKRQNNB | brkrqnnb | [FEN "brkrqnnb/pppppppp/8/8/8/8/PPPPPPPP/BRKRQNNB w DBdb - 0 1"] |
| 916 | RBBKRQNN | rbbkrqnn | [FEN "rbbkrqnn/pppppppp/8/8/8/8/PPPPPPPP/RBBKRQNN w EAea - 0 1"] |
| 917 | RKBBRQNN | rkbbrqnn | [FEN "rkbbrqnn/pppppppp/8/8/8/8/PPPPPPPP/RKBBRQNN w EAea - 0 1"] |
| 918 | RKBRQBNN | rkbrqbnn | [FEN "rkbrqbnn/pppppppp/8/8/8/8/PPPPPPPP/RKBRQBNN w DAda - 0 1"] |
| 919 | RKBRQNNB | rkbrqnnb | [FEN "rkbrqnnb/pppppppp/8/8/8/8/PPPPPPPP/RKBRQNNB w DAda - 0 1"] |
| 920 | RBKRBQNN | rbkrbqnn | [FEN "rbkrbqnn/pppppppp/8/8/8/8/PPPPPPPP/RBKRBQNN w DAda - 0 1"] |
| 921 | RKRBBQNN | rkrbbqnn | [FEN "rkrbbqnn/pppppppp/8/8/8/8/PPPPPPPP/RKRBBQNN w CAca - 0 1"] |
| 922 | RKRQBBNN | rkrqbbnn | [FEN "rkrqbbnn/pppppppp/8/8/8/8/PPPPPPPP/RKRQBBNN w CAca - 0 1"] |
| 923 | RKRQBNNB | rkrqbnnb | [FEN "rkrqbnnb/pppppppp/8/8/8/8/PPPPPPPP/RKRQBNNB w CAca - 0 1"] |
| 924 | RBKRQNBN | rbkrqnbn | [FEN "rbkrqnbn/pppppppp/8/8/8/8/PPPPPPPP/RBKRQNBN w DAda - 0 1"] |
| 925 | RKRBQNBN | rkrbqnbn | [FEN "rkrbqnbn/pppppppp/8/8/8/8/PPPPPPPP/RKRBQNBN w CAca - 0 1"] |
| 926 | RKRQNBBN | rkrqnbbn | [FEN "rkrqnbbn/pppppppp/8/8/8/8/PPPPPPPP/RKRQNBBN w CAca - 0 1"] |
| 927 | RKRQNNBB | rkrqnnbb | [FEN "rkrqnnbb/pppppppp/8/8/8/8/PPPPPPPP/RKRQNNBB w CAca - 0 1"] |
| 928 | BBRKRNQN | bbrkrnqn | [FEN "bbrkrnqn/pppppppp/8/8/8/8/PPPPPPPP/BBRKRNQN w ECec - 0 1"] |
| 929 | BRKBRNQN | brkbrnqn | [FEN "brkbrnqn/pppppppp/8/8/8/8/PPPPPPPP/BRKBRNQN w EBeb - 0 1"] |
| 930 | BRKRNBQN | brkrnbqn | [FEN "brkrnbqn/pppppppp/8/8/8/8/PPPPPPPP/BRKRNBQN w DBdb - 0 1"] |
| 931 | BRKRNQNB | brkrnqnb | [FEN "brkrnqnb/pppppppp/8/8/8/8/PPPPPPPP/BRKRNQNB w DBdb - 0 1"] |
| 932 | RBBKRNQN | rbbkrnqn | [FEN "rbbkrnqn/pppppppp/8/8/8/8/PPPPPPPP/RBBKRNQN w EAea - 0 1"] |
| 933 | RKBBRNQN | rkbbrnqn | [FEN "rkbbrnqn/pppppppp/8/8/8/8/PPPPPPPP/RKBBRNQN w EAea - 0 1"] |
| 934 | RKBRNBQN | rkbrnbqn | [FEN "rkbrnbqn/pppppppp/8/8/8/8/PPPPPPPP/RKBRNBQN w DAda - 0 1"] |
| 935 | RKBRNQNB | rkbrnqnb | [FEN "rkbrnqnb/pppppppp/8/8/8/8/PPPPPPPP/RKBRNQNB w DAda - 0 1"] |
| 936 | RBKRBNQN | rbkrbnqn | [FEN "rbkrbnqn/pppppppp/8/8/8/8/PPPPPPPP/RBKRBNQN w DAda - 0 1"] |
| 937 | RKRBBNQN | rkrbbnqn | [FEN "rkrbbnqn/pppppppp/8/8/8/8/PPPPPPPP/RKRBBNQN w CAca - 0 1"] |
| 938 | RKRNBBQN | rkrnbbqn | [FEN "rkrnbbqn/pppppppp/8/8/8/8/PPPPPPPP/RKRNBBQN w CAca - 0 1"] |
| 939 | RKRNBQNB | rkrnbqnb | [FEN "rkrnbqnb/pppppppp/8/8/8/8/PPPPPPPP/RKRNBQNB w CAca - 0 1"] |
| 940 | RBKRNQBN | rbkrnqbn | [FEN "rbkrnqbn/pppppppp/8/8/8/8/PPPPPPPP/RBKRNQBN w DAda - 0 1"] |
| 941 | RKRBNQBN | rkrbnqbn | [FEN "rkrbnqbn/pppppppp/8/8/8/8/PPPPPPPP/RKRBNQBN w CAca - 0 1"] |
| 942 | RKRNQBBN | rkrnqbbn | [FEN "rkrnqbbn/pppppppp/8/8/8/8/PPPPPPPP/RKRNQBBN w CAca - 0 1"] |
| 943 | RKRNQNBB | rkrnqnbb | [FEN "rkrnqnbb/pppppppp/8/8/8/8/PPPPPPPP/RKRNQNBB w CAca - 0 1"] |
| 944 | BBRKRNNQ | bbrkrnnq | [FEN "bbrkrnnq/pppppppp/8/8/8/8/PPPPPPPP/BBRKRNNQ w ECec - 0 1"] |
| 945 | BRKBRNNQ | brkbrnnq | [FEN "brkbrnnq/pppppppp/8/8/8/8/PPPPPPPP/BRKBRNNQ w EBeb - 0 1"] |
| 946 | BRKRNBNQ | brkrnbnq | [FEN "brkrnbnq/pppppppp/8/8/8/8/PPPPPPPP/BRKRNBNQ w DBdb - 0 1"] |
| 947 | BRKRNNQB | brkrnnqb | [FEN "brkrnnqb/pppppppp/8/8/8/8/PPPPPPPP/BRKRNNQB w DBdb - 0 1"] |
| 948 | RBBKRNNQ | rbbkrnnq | [FEN "rbbkrnnq/pppppppp/8/8/8/8/PPPPPPPP/RBBKRNNQ w EAea - 0 1"] |
| 949 | RKBBRNNQ | rkbbrnnq | [FEN "rkbbrnnq/pppppppp/8/8/8/8/PPPPPPPP/RKBBRNNQ w EAea - 0 1"] |
| 950 | RKBRNBNQ | rkbrnbnq | [FEN "rkbrnbnq/pppppppp/8/8/8/8/PPPPPPPP/RKBRNBNQ w DAda - 0 1"] |
| 951 | RKBRNNQB | rkbrnnqb | [FEN "rkbrnnqb/pppppppp/8/8/8/8/PPPPPPPP/RKBRNNQB w DAda - 0 1"] |
| 952 | RBKRBNNQ | rbkrbnnq | [FEN "rbkrbnnq/pppppppp/8/8/8/8/PPPPPPPP/RBKRBNNQ w DAda - 0 1"] |
| 953 | RKRBBNNQ | rkrbbnnq | [FEN "rkrbbnnq/pppppppp/8/8/8/8/PPPPPPPP/RKRBBNNQ w CAca - 0 1"] |
| 954 | RKRNBBNQ | rkrnbbnq | [FEN "rkrnbbnq/pppppppp/8/8/8/8/PPPPPPPP/RKRNBBNQ w CAca - 0 1"] |
| 955 | RKRNBNQB | rkrnbnqb | [FEN "rkrnbnqb/pppppppp/8/8/8/8/PPPPPPPP/RKRNBNQB w CAca - 0 1"] |
| 956 | RBKRNNBQ | rbkrnnbq | [FEN "rbkrnnbq/pppppppp/8/8/8/8/PPPPPPPP/RBKRNNBQ w DAda - 0 1"] |
| 957 | RKRBNNBQ | rkrbnnbq | [FEN "rkrbnnbq/pppppppp/8/8/8/8/PPPPPPPP/RKRBNNBQ w CAca - 0 1"] |
| 958 | RKRNNBBQ | rkrnnbbq | [FEN "rkrnnbbq/pppppppp/8/8/8/8/PPPPPPPP/RKRNNBBQ w CAca - 0 1"] |
| 959 | RKRNNQBB | rkrnnqbb | [FEN "rkrnnqbb/pppppppp/8/8/8/8/PPPPPPPP/RKRNNQBB w CAca - 0 1"] |
